bs,output_len,use_ffn,avg_duration
8,10,0,2.61
8,10,1,3.18
8,20,0,4.86
8,20,1,5.94
8,30,0,7.32
8,30,1,9.04
8,40,0,8.94
8,40,1,10.89
8,50,0,10.92
8,50,1,13.88
8,60,0,13.2
8,60,1,16.5
8,70,0,15.61
8,70,1,20.12
8,80,0,18.62
8,80,1,21.39
8,90,0,20.39
8,90,1,24.96
8,100,0,22.38
8,100,1,27.04
8,200,0,44.94
8,200,1,55.28
8,300,0,65.87
8,300,1,82.91
8,400,0,88.41
8,400,1,106.54
8,500,0,112.54
8,500,1,138.54
8,600,0,137.48
8,600,1,163.84
8,700,0,157.83
8,700,1,193.1
8,800,0,185.61
8,800,1,222.21
16,10,0,2.75
16,10,1,3.43
16,20,0,5.04
16,20,1,6.34
16,30,0,7.48
16,30,1,9.02
16,40,0,10.06
16,40,1,12.16
16,50,0,12.88
16,50,1,15.27
16,60,0,14.54
16,60,1,17.39
16,70,0,17.34
16,70,1,20.45
16,80,0,19.23
16,80,1,23.5
16,90,0,21.98
16,90,1,26.59
16,100,0,25.32
16,100,1,28.86
16,200,0,48.06
16,200,1,58.34
16,300,0,73.22
16,300,1,88.2
16,400,0,99.24
16,400,1,119.02
16,500,0,123.57
16,500,1,147.7
16,600,0,151.07
16,600,1,178.58
16,700,0,176.88
16,700,1,209.55
16,800,0,202.97
16,800,1,246.26
32,10,0,3.3
32,10,1,4.07
32,20,0,6.52
32,20,1,7.19
32,30,0,9.07
32,30,1,10.83
32,40,0,12.06
32,40,1,14.25
32,50,0,15.04
32,50,1,17.47
32,60,0,17.92
32,60,1,21.65
32,70,0,21.5
32,70,1,23.98
32,80,0,23.48
32,80,1,27.77
32,90,0,26.235
32,90,1,30.89
32,100,0,29.43
32,100,1,34.55
32,200,0,59.28
32,200,1,68.9
32,300,0,91.27
32,300,1,104.95
32,400,0,122.36
32,400,1,139.66
32,500,0,153.29
32,500,1,178.23
32,600,0,186.61
32,600,1,213.94
32,700,0,220.09
32,700,1,250.43
32,800,0,255.23
32,800,1,292.41
64,10,0,5.13
64,10,1,5.39
64,20,0,9.35
64,20,1,10.57
64,30,0,13.68
64,30,1,14.89
64,40,0,18.32
64,40,1,19.95
64,50,0,22.35
64,50,1,24.89
64,60,0,26.79
64,60,1,29.19
64,70,0,31.6
64,70,1,35.02
64,80,0,34.94
64,80,1,39.8
64,90,0,40.14
64,90,1,45.59
64,100,0,44.5
64,100,1,49.86
64,200,0,89.9
64,200,1,100.14
64,300,0,131.22
64,300,1,151.14
64,400,0,183.46
64,400,1,204.58
64,500,0,235.59
64,500,1,261.08
64,600,0,287.34
64,600,1,317.21
64,700,0,336.07
64,700,1,375.53
64,800,0,393.8
64,800,1,435.58
128,10,0,6.85
128,10,1,7.61
128,20,0,12.99
128,20,1,14.49
128,30,0,19.62
128,30,1,21.84
128,40,0,25.83
128,40,1,28.81
128,50,0,32.37
128,50,1,35.81
128,60,0,38.37
128,60,1,42.66
128,70,0,44.93
128,70,1,49.88
128,80,0,51.48
128,80,1,57.64
128,90,0,57.03
128,90,1,63.51
128,100,0,63.97
128,100,1,71.22
128,200,0,130.56
128,200,1,144.13
128,300,0,199.22
128,300,1,220.52
128,400,0,272.03
128,400,1,300.28
128,500,0,345.76
128,500,1,383.55
128,600,0,426.08
128,600,1,464.67
128,700,0,504.215
128,700,1,549.4
128,800,0,588.6
128,800,1,639.57
256,10,0,11.62
256,10,1,13.29
256,20,0,21.75
256,20,1,24.21
256,30,0,32.01
256,30,1,35.41
256,40,0,42.81
256,40,1,46.97
256,50,0,53.49
256,50,1,58.8
256,60,0,64.27
256,60,1,71.15
256,70,0,74.74
256,70,1,82.4
256,80,0,85.625
256,80,1,93.64
256,90,0,96.14
256,90,1,105.1
256,100,0,107.47
256,100,1,117.68
256,200,0,219.21
256,200,1,239.55
256,300,0,338.01
256,300,1,366.81
256,400,0,460.23
256,400,1,500.19
256,500,0,589.63
256,500,1,640.46
256,600,0,726.66
256,600,1,786.69
256,700,0,862.855
256,700,1,932.275
256,800,0,1013.16
256,800,1,1090.44
